Entry,Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Country,Category
161,Peeping Tom,Michael Powell,"Anna Massey, Carl Boehm, Esmond Knight, Karl Bohm, Maxine Audley, Moira Shearer",1960,,http://www.imdb.com/title/tt0054167/,UK,Horror
162,The Innocents,Jack Clayton,"Clytie Jessop, Deborah Kerr, Michael Redgrave, Peter Wyngarde",1961,,http://www.imdb.com/title/tt0055018/,USA,Horror
163,Ringu,Hideo Nakata,"Nanako Matsushima, Hiroyuki Sanada, Rikiya Otaka",1998,,http://www.imdb.com/title/tt0178868/,Japan,Horror
164,The Haunting,Robert Wise,"Claire Bloom, Julie Harris, Richard Johnson",1963,,http://www.imdb.com/title/tt0057129/,USA,Horror
165,Texas Chainsaw Massacre,Tobe Hooper,"Edwin Neal, Jim Siedow, Marilyn Burns, Paul A Partain",1974,,http://www.imdb.com/title/tt0072271/,USA,Horror
166,Dead of Night,"Alberto Cavalcanti, Charles Crichton","Googie Withers, Mervyn Johns, Michael Redgrave",1945,,http://www.imdb.com/title/tt0037635/,UK,Horror
167,The Cabinet of Dr Caligari,Robert Wiene,"Conrad Veidt, Lil Dagover, Werner Krauss",1920,,http://www.imdb.com/title/tt0010323/,Germany,Horror
168,Halloween,John Carpenter,"Donald Pleasance, Donald Pleasence, Jamie Lee Curtis, Nancy Loomis, Tony Moran",1978,,http://www.imdb.com/title/tt0077651/,USA,Horror
169,Bride of Frankenstein,James Whale,"Boris Karloff, Colin Clive, Elsa Lanchester",1935,,http://www.imdb.com/title/tt0026138/,USA,Horror
170,Les Diaboliques,Henri-Georges Clouzot,"Paul Meurisse, Simone Signoret, Vera Clouzot",1955,,http://www.imdb.com/title/tt0046911/,France,Horror
171,Audition,Miike Takashi,"Eihi Shiina, Ishibashi Renji, Ishibashi Ryo, Matsuda Miyuki, Renji Ishibashi, Ryo Ishibashi, Shiina Eihi",1999,,http://www.imdb.com/title/tt0235198/,Korea,Horror
172,Dracula (1958),Terence Fisher,"Christopher Lee, Melissa Stribling, Michael Gough, Peter Cushing",1958,,http://www.imdb.com/title/tt0051554/,UK,Horror
173,The Blair Witch Project,"Daniel Myrick, E Sanchez","Heather Donahue, Joshua Leonard, Michael C. Williams",1999,,http://www.imdb.com/title/tt0185937/,USA,Horror
174,Evil Dead/Evil Dead II,Sam Raimi,"Betsy Baker, Bruce Campbell, Ellen Sandweiss",1981/ 1987,,http://www.imdb.com/title/tt0083907/,USA,Horror
175,Carrie,Brian De Palma,"John Travolta, Piper Laurie, Sissy Spacek",1976,,http://www.imdb.com/title/tt0074285/,USA,Horror
176,Les Vampires (1915),Louis Feuillade,"Edouard Mathe, Marcel Levesque",1915,,http://www.imdb.com/title/tt0006206/,France,Horror
